Ville v�rit�
Charritte-de-Bas
Amilly 
Roullens
Tours
Artigues
Chinon
Tours
Tours
Châteaudun
Paris
Ambazac
Font-Romeu-Odeillo-Via
Mayenne
Mayronnes
Tours
Chinon
Coutures
Mulhouse
Sevrier
Tours
Pithiviers
Amboise
Orléans
Mulhouse
La Lande-Patry
Saint-Hilaire-de-Villefranche
Marseille
Saint-Pierre-Eynac
Hounoux
Chartres
Cournonsec
Tours
Argenton
Saint-Coulitz
Douai
Lantosque
Amboise
Saint-Amour

Châteauroux
Larnat
Saint-Savin
Paris
Le Pont-de-Beauvoisin
Routot
Tours
Saint-Pierre-des-Corps
Tours
Paris

Carcassonne
Albertville
Mervent
Bourges
Wisches
Lanvallay
Saint-Mihiel
Mérignac
Iwuy
Samoreau
Tours
Tours
Saint-Martin-sur-Lavezon
Amboise
Chambray-lès-Tours
Conty
La Trinité
Saint-Fargeau-Ponthierry
Plénée-Jugon
Bléneau
Cazères
Loches
Tours
Pierre de Bresse
Saché
Tresserve
Tours
La Terrasse-sur-Dorlay
Tours
Baccarat
Saint-Martin
Donzère
Fours
L'Hôtellerie-de-Flée
Plaisir
Tours

Erckartswiller
Capdenac-Gare
Tours
Doué-en-Anjou
Gien
La Porte du Der
Tours
Pont-du-Casse
Tours
Saint-Astier
Amboise
Chambray-lès-Tours
Dreux
